id,first_name,last_name,email,gender,SSN,condition,comments,health_id
1,Bettina,Macken,bmacken0@dailymotion.com,Female,246-84-8830,Long Covid,Patient name is Bettina Macken. Initial visit was an assessment of Long Covid,9958922266
2,Marinna,Mattaser,mmattaser1@bandcamp.com,Female,898-98-8406,HIV,Patient name is Marinna Mattaser. Initial visit was an assessment of HIV,8862821476
3,Tory,Muller,tmuller2@unc.edu,Female,258-66-6294,diabetes,Patient name is Tory Muller. Initial visit was an assessment of diabetes,8543172462
4,Clemente,Halmkin,chalmkin3@w3.org,Male,208-10-7669,diabetes,Patient name is Clemente Halmkin. Initial visit was an assessment of diabetes,6800135151
5,Brigg,Riveles,briveles4@mit.edu,Genderqueer,776-49-5974,diabetes,Patient name is Brigg Riveles. Initial visit was an assessment of diabetes,2773574621
6,Carlene,Broy,cbroy5@newsvine.com,Female,618-96-6545,diabetes,Patient name is Carlene Broy. Initial visit was an assessment of diabetes,2989592377
7,Alexandro,Dilger,adilger6@webmd.com,Male,217-23-7188,Long Covid,Patient name is Alexandro Dilger. Initial visit was an assessment of Long Covid,8128940074
8,Neda,Haythorne,nhaythorne7@bravesites.com,Female,524-95-2844,ankle sprain,Patient name is Neda Haythorne. Initial visit was an assessment of ankle sprain,2107294267
9,Shurlock,Pally,spally8@salon.com,Male,348-08-0337,ankle sprain,Patient name is Shurlock Pally. Initial visit was an assessment of ankle sprain,8472397874
10,Dorrie,McIntosh,dmcintosh9@gmpg.org,Genderfluid,804-51-2361,diabetes,Patient name is Dorrie McIntosh. Initial visit was an assessment of diabetes,6317300615
11,Kizzie,Le Fleming,klefleminga@is.gd,Bigender,273-94-5017,ankle sprain,Patient name is Kizzie Le Fleming. Initial visit was an assessment of ankle sprain,4143162369
12,Irene,Griggs,igriggsb@redcross.org,Female,773-46-7744,HIV,Patient name is Irene Griggs. Initial visit was an assessment of HIV,0457783168
